Item Name,Item Color and Size,Item Sellout time
Eagle Hockey Jersey,Green - XXL,16.5
Supreme®/Schott® Leather Work Jacket,Tan - Small,18.1
Nate Lowman Hooded Sweatshirt,Black - XXL,18.2
Nate Lowman Double Knee Painter Pant,Denim - 30,18.3
Nate Lowman Double Knee Painter Pant,Denim - 32,19.1
Nate Lowman Double Knee Painter Pant,Black - 30,19.6
Nate Lowman Hooded Sweatshirt,Natural - XXL,20.7
Eagle Hockey Jersey,Black - XXL,21.2
Nate Lowman Double Knee Painter Pant,Black - 38,21.8
Nate Lowman Double Knee Painter Pant,Black - 32,21.8
Eagle Hockey Jersey,Royal - XXL,25.7
Nate Lowman Double Knee Painter Pant,Black - 34,26.4
Nate Lowman Double Knee Painter Pant,Denim - 34,26.8
Nate Lowman Double Knee Painter Pant,Black - 36,27.1
Nate Lowman Double Knee Painter Pant,Natural - 36,32.1
Nate Lowman Double Knee Painter Pant,Denim - 36,35.4
Nate Lowman Hooded Sweatshirt,Red - XXL,78.9
Ambigram Hooded Sweatshirt,Raspberry - XXL,79.0
Nate Lowman Double Knee Painter Pant,Natural - 34,79.2
Nate Lowman Double Knee Painter Pant,Natural - 30,82.9
Nate Lowman Double Knee Painter Pant,Natural - 32,89.5
