Item Name,Item Color and Size,Item Sellout time
Aeon Flux Gun Tee,Brown - XXL,51.3
Aeon Flux Gun Tee,Black - XXL,61.3
Aeon Flux Gun Tee,Teal - XXL,62.0
Aeon Flux Gun Tee,Brown - XLarge,112.0
GORE-TEX PACLITE® Suit,Black - XLarge,120.0
Aeon Flux Soccer Jersey,Pink - XXL,120.2
Aeon Flux Gun Tee,White - XXL,122.0
Crushed Velvet Crusher,Royal - M/L,122.6
Crushed Velvet Crusher,Pink - S/M,122.6
Aeon Flux Soccer Jersey,Black - XXL,122.7
Acid Wash S/S Top,Light Blue - XXL,124.5
GORE-TEX PACLITE® Suit,Orange - XLarge,125.0
