Item Name,Item Color and Size,Item Sellout time
Money Box Logo New Era®,White - 8,24.7
Supreme®/The North Face® <br>Steep Tech Gloves,Black Dragon - XLarge,31.7
Money Box Logo New Era®,Red - 8,33.2
Denim Camp Cap,Washed Blue - N/A,34.6
Baggy Jean,Green - 38,40.9
Supreme®/The North Face® <br>700-Fill Down Parka,Brown - XXL,41.4
Money Box Logo New Era®,Black - 8,44.0
Supreme®/The North Face® <br>Steep Tech Fleece Pullover,Brown - XXL,45.2
Money Box Logo New Era®,Dark Green - 8,55.0
Supreme®/The North Face® <br>700-Fill Down Parka,Black - XXL,60.9
Supreme®/The North Face® <br>Steep Tech Apogee Jacket,Black - XXL,63.1
Supreme®/The North Face® <br>Steep Tech Gloves,Black Dragon - Large,89.0
Baggy Jean,Brown - 38,101.1
Supreme®/The North Face® <br>700-Fill Down Parka,Black - XLarge,109.2
Supreme®/The North Face® <br>Steep Tech Apogee Jacket,Brown - XXL,115.2
Money Box Logo New Era®,Light Blue - 8,115.4
Money Box Logo New Era®,White - 7 3/4,117.4
Money Box Logo New Era®,Brown - 8,120.8
Supreme®/The North Face® <br>Steep Tech Pant,Black - XXL,121.7
Supreme®/The North Face® <br>Steep Tech Fleece Pant,Brown - XXL,121.7
Supreme®/The North Face® <br>Steep Tech Fleece Pullover,Black Dragon - XLarge,123.3
Supreme®/The North Face® <br>700-Fill Down Parka,Multicolor Dragon - XXL,123.5
Supreme®/The North Face® <br>Steep Tech Apogee Jacket,Multicolor Dragon - XXL,123.6
