Item Name,Item Color and Size,Item Sellout time
Corduroy Short,Plaid - XXL,41.8
Corduroy Short,Black - XXL,55.4
Regular Jean,Flowers - 38,58.1
Corduroy Short,Brown - XXL,62.0
Regular Jean,Washed Black - 38,62.9
Supreme®/Mitchell & Ness® <br>Quilted Sports Jacket,Tan - XXL,104.8
Chino Pant,Black Stars - 38,105.1
Satin Zip Up S/S Work Shirt,Pink - XLarge,112.9
Chino Pant,Khaki Stars - 38,115.6
Corduroy Short,Pale Mint - XXL,118.5
Satin Zip Up S/S Work Shirt,Pink - Small,118.6
Regular Jean,Washed Blue - 38,121.7
Hand Crocheted Sweater,Brown - XLarge,121.8
Special Offer S/S Top,Multicolor - XXL,122.2
S/S Pocket Tee,Navy - XXL,122.3
Satin Zip Up S/S Work Shirt,Black - Small,122.6
Supreme®/Mitchell & Ness® <br>Quilted Sports Jacket,Black - XXL,124.8
Chino Pant,Dark Navy - 38,125.4
