Item Name,Item Color and Size,Item Sellout time
Satin Appliqué Sweatpant,Black - XXL,27.7
Supreme®/Dickies® Corduroy Work Jacket,Black - XXL,33.4
Supreme®/Dickies® Corduroy Work Jacket,Royal - XXL,37.9
Satin Appliqué Sweatpant,Red - XXL,40.4
Supreme®/Dickies® Corduroy Work Jacket,Royal - XLarge,53.2
Supreme®/Dickies® Corduroy Overalls,Black - XXL,53.4
Satin Appliqué Sweatpant,Navy - XXL,54.2
Supreme®/Dickies® Sweater,Black - XLarge,57.0
Satin Appliqué Sweatpant,Black - Medium,79.9
Satin Appliqué Sweatpant,Black - XLarge,85.1
Supreme®/Dickies® Corduroy Work Jacket,Royal - Large,90.0
Satin Appliqué Sweatpant,Red - XLarge,92.0
Satin Appliqué Sweatpant,Red - Large,92.8
Satin Appliqué Sweatpant,Heather Grey - Small,93.0
Satin Appliqué Sweatpant,Heather Grey - XXL,95.0
Satin Appliqué Sweatpant,Black - Large,95.2
Satin Appliqué Sweatpant,Mint - Medium,95.4
Supreme®/Dickies® Corduroy Work Jacket,Royal - Medium,98.1
Satin Appliqué Hooded Sweatshirt,Mint - Small,101.4
Supreme®/Dickies® Corduroy Overalls,Brown - XXL,103.1
Satin Appliqué Sweatpant,Black - Small,104.1
Satin Appliqué Sweatpant,Mint - XXL,108.9
Satin Appliqué Hooded Sweatshirt,Mint - XXL,110.5
Satin Appliqué Sweatpant,Mint - Small,113.2
Satin Appliqué Hooded Sweatshirt,Red - XXL,113.5
Supreme®/Dickies® Corduroy Work Jacket,Brown - XXL,115.2
Satin Appliqué Sweatpant,Red - Medium,115.6
Supreme®/Dickies® Corduroy Overalls,Royal - XXL,116.0
Supreme®/Dickies® Corduroy Work Jacket,Royal - Small,118.8
