Item Name,Item Color and Size,Item Sellout time
Supreme/The Velvet Underground Nico Hooded Sweatshirt,Multicolor - Small,4.3
Supreme/The Velvet Underground Rayon S/S Shirt,Black - Small,5.5
Supreme/The Velvet Underground Rayon S/S Shirt,White - Small,5.5
Supreme/The Velvet Underground Nico Hooded Sweatshirt,Multicolor - XLarge,5.6
Supreme/The Velvet Underground Rayon S/S Shirt,Black - XLarge,6.2
Supreme/The Velvet Underground Rayon S/S Shirt,White - XLarge,6.2
Supreme/The Velvet Underground Nico Hooded Sweatshirt,Multicolor - Medium,7.2
Supreme/The Velvet Underground Nico Hooded Sweatshirt,Multicolor - Large,7.5
Paneled Arc Hooded Sweatshirt,Natural - Small,8.4
Love Hate Baseball Jersey,Teal - Small,10.2
Supreme/The Velvet Underground Hooded Sweatshirt,White - Small,10.6
Quilted Paisley Jacket,Mustard Paisley - Small,11.0
Quilted Paisley Jacket,Navy Paisley - Small,11.6
Quilted Paisley Jacket,Mustard Paisley - XLarge,11.7
Quilted Paisley Jacket,Black - Small,11.9
Quilted Paisley Jacket,Mustard Paisley - Large,12.0
Quilted Paisley Jacket,Navy Paisley - Large,12.0
Quilted Paisley Jacket,Navy Paisley - Medium,12.0
Supreme/The Velvet Underground Hooded Sweatshirt,Black - Small,12.4
Supreme/The Velvet Underground Hooded Sweatshirt,Red - Small,12.4
Quilted Paisley Jacket,Navy Paisley - XLarge,12.5
Paneled Arc Hooded Sweatshirt,Dark Green - Small,12.9
Supreme/The Velvet Underground Tee,Black - Small,14.8
Supreme/The Velvet Underground Ringer Tee,Teal - Small,15.0
Supreme/The Velvet Underground Ringer Tee,Black - Small,15.0
Love Hate Baseball Jersey,Black - Small,18.4
Cat L/S Pocket Tee,Mauve - Small,22.4
Supreme/The Velvet Underground & Nico Tee,Black - Small,39.5
Cat L/S Pocket Tee,Rust - Small,43.5
Supreme/The Velvet Underground & Nico Tee,White - Small,44.0
Raised Logo Sweater,Acid Green - Small,44.9
Supreme/The Velvet Underground Tee,White - Small,48.2
Supreme/The Velvet Underground Tee,Light Slate - Small,48.2
Denim Shirt,Blue - Small,52.7
Supreme/The Velvet Underground Ringer Tee,Tan - Small,71.5
Cat L/S Pocket Tee,Dark Green - Small,89.2
Cat L/S Pocket Tee,Mauve - XLarge,89.2
Delta Logo Varsity Jacket,Red - Small,90.4
Supreme®/Stanley® 20 oz. Vacuum Insulated Bottle,Red - N/A,98.9
Denim Shirt,Blue - XLarge,111.1
Sports Piping Puffy Jacket,White - Small,129.2
Cat L/S Pocket Tee,Navy - Small,140.2
Cat L/S Pocket Tee,Black - Small,140.2
Cat L/S Pocket Tee,White - Small,140.2
Cat L/S Pocket Tee,Mauve - Medium,140.2
Supreme/The Velvet Underground Drawing Tee,Yellow - Small,145.6
Supreme/The Velvet Underground Drawing Tee,Black - Small,145.6
Supreme/The Velvet Underground Drawing Tee,Light Slate - Small,147.1
