Item Name,Item Color and Size,Item Sellout time
Pillows Tee,Ash Grey - Small,21.7
Pillows Tee,Black - Small,21.7
Pillows Tee,White - Small,25.0
Pillows Tee,Navy - Small,26.9
Pillows Tee,Burgundy - Small,28.0
Pillows Tee,Dusty Teal - Small,28.0
Pillows Tee,Black - XLarge,29.0
Pillows Tee,Bright Orange - Small,29.0
Bible Tee,Black - Small,33.3
Piping Crewneck,Black - Small,37.4
Pillows Tee,White - XLarge,37.6
Life Tee,Heather Light Pink - Small,38.2
American Picture Tee,Ash Grey - Small,42.0
Bible Tee,Ash Grey - Small,42.7
Delta Logo Hooded Sweatshirt,Natural - Small,47.3
Life Tee,Black - Small,47.6
Pillows Tee,Black - Large,67.2
Big Logo Beanie,Black - N/A,77.0
Bible Tee,Heather Light Pink - Small,77.2
Pillows Tee,Black - Medium,81.2
Pillows Tee,Navy - XLarge,82.1
Delta Logo Hooded Sweatshirt,Fuchsia - Small,88.4
Supreme®/Vans® FTW Sk8-Hi,White - 8,93.5
Bible Tee,White - Small,94.8
Mercenary Tee,Black - Small,95.9
Big Logo Beanie,Red - N/A,97.8
Supreme®/Vans® FTW Sk8-Hi,Navy - 13,98.0
Bible Tee,Light Slate - Small,99.9
Pillows Tee,Dusty Teal - Large,100.1
Supreme®/Vans® FTW Sk8-Hi,Black - 8,103.1
Bible Tee,Red - Small,103.7
Life Tee,Burnt Orange - Small,105.0
Cheese Tee,Woodland Camo - Small,105.9
Marrakech L/S Top,Light Olive - Small,106.3
American Picture Tee,Black - Small,106.6
Bible Tee,Navy - Small,107.1
Crown Chino Pant,Khaki - 36,114.6
Delta Logo Hooded Sweatshirt,Dark Green - Small,116.9
Pillows Tee,Navy - Large,117.4
Pillows Tee,Navy - Medium,120.8
Painter Pant,Black - 32,122.0
Pillows Tee,Burgundy - Large,123.3
Batik Print Rayon Shirt,Yellow - Small,125.5
Pillows Tee,Dusty Teal - XLarge,125.8
Piping Crewneck,White - Small,128.0
Life Tee,White - Small,130.9
Pillows Tee,Burgundy - XLarge,131.0
Life Tee,Heather Grey - Small,131.5
Supreme®/Vans® FTW Sk8-Hi,Navy - 8,132.9
Heroines Tee,White - Small,133.4
Pillows Tee,Ash Grey - XLarge,142.4
Piping Crewneck,Navy - Small,143.4
Big Logo Beanie,Heather Grey - N/A,144.0
Mercenary Tee,Sulfur - Small,145.3
Life Tee,Slate - Small,145.7
Supreme®/Vans® FTW Sk8-Hi,White - 9.5,148.2
Inc. Tee,Royal - Small,148.9
Delta Logo Hooded Sweatshirt,Black - Small,149.1
American Picture Tee,Heather Light Pink - Small,151.4
Big Logo Beanie,Magenta - N/A,153.6
Supreme®/Vans® FTW Sk8-Hi,White - 10,159.7
Supreme®/Vans® FTW Sk8-Hi,White - 9,163.2
Supreme®/Vans® FTW Sk8-Hi,White - 8.5,168.8
Bible Tee,Black - XLarge,169.9
Pillows Tee,Ash Grey - Medium,171.8
Supreme®/Vans® FTW Sk8-Hi,White - 10.5,173.6
