Item Name,Item Color and Size,Item Sellout time
Metallic Jacquard Crewneck,White - Small,4.7
Reaper Work Jacket,No Words for Feelings - Small,6.8
Cupid Tee,Heather Grey - Small,13.7
Cupid Tee,White - Small,13.7
Cupid Tee,Black - Small,16.3
Metallic Jacquard Crewneck,Black - Small,16.9
Cupid Tee,Purple - Small,17.1
Logo Denim Turnout Jacket,Blue - Small,17.3
Metallic Jacquard Crewneck,White - XLarge,17.7
Logo Denim Turnout Jacket,Orange - Small,18.0
Small Box Tee,White - Small,19.0
Reaper Work Jacket,No Words for Feelings - XLarge,19.3
Cupid Tee,Navy - Small,23.1
Who The Fuck Tee,Woodland Camo - Small,23.3
Metallic Jacquard Crewneck,Red - Small,28.6
Cupid Tee,Red - Small,30.5
Cupid Tee,Black - XLarge,31.3
Metallic Jacquard Crewneck,White - Large,32.3
Metallic Jacquard Crewneck,White - Medium,33.7
Logo Denim Turnout Jacket,Black - Small,37.6
<em>The Persistence of Memory</em> Tee,Natural - Small,37.7
Cupid Tee,Heather Grey - XLarge,39.7
Small Box Tee,Dusty Purple - Small,40.8
Small Box Tee,Pale Orange - Small,41.5
Logo Denim Overalls,Orange - Small,42.0
Ghost Rider© Tee,Orange - Small,42.8
Cupid Tee,Neon Green - Small,43.2
<em>The Persistence of Memory</em> Tee,Purple - Small,43.7
Small Box Tee,Heather Grey - Small,45.7
<em>The Persistence of Memory</em> Tee,Black - Small,46.1
Cupid Tee,Black - Large,46.8
Small Box Tee,Navy - Small,47.6
Cupid Tee,Rust - Small,49.8
Cupid Tee,Heather Grey - Medium,51.7
Cupid Tee,Heather Grey - Large,52.4
Ghost Rider© Tee,Black - Small,53.3
Cupid Tee,Black - Medium,54.2
Gradient Logo Tee,Magenta - Small,54.8
Gradient Logo Tee,White - Small,54.8
Suzie Switchblade Tee,Dark Sage - Small,57.0
Small Box Tee,Black - Small,57.5
Cupid Tee,White - XLarge,59.7
Reaper Work Jacket,No Words for Feelings - Large,60.0
Metallic Jacquard Crewneck,Black - XLarge,60.8
Logo Denim Turnout Jacket,Blue - Medium,62.0
Who The Fuck Tee,Black - Small,62.1
<em>The Persistence of Memory</em> Tee,Woodland Camo - Small,65.1
Molotov Kid Tee,Ash Grey - Small,65.9
Cupid Tee,White - Medium,66.0
Reaper Work Jacket,No Words for Feelings - Medium,66.6
