Item Name,Item Color and Size,Item Sellout time
Pinstripe Varsity Jacket,Tan - Small,4.5
Know Thyself Hooded Sweatshirt,Light Blue - Small,4.6
Pinstripe Varsity Jacket,Black - Small,4.9
Highland Jacket,Red - Small,5.2
Pinstripe Varsity Jacket,Blue - Small,7.2
Highland Jacket,Stone - Small,8.8
Fuck Everybody Sweater,White - Small,9.0
Highland Jacket,Black - Small,10.2
Fuck Everybody Sweater,Black - Small,10.5
Pinstripe Varsity Jacket,Orange - Small,11.3
Highland Jacket,Green - Small,15.7
Pinstripe Varsity Jacket,Tan - XLarge,17.7
Pinstripe Varsity Jacket,Black - XLarge,22.0
Know Thyself Hooded Sweatshirt,Ash Grey - Small,24.2
Fuck Everybody Sweater,Magenta - Small,31.7
Highland Jacket,Red - XLarge,33.9
Pinstripe Varsity Jacket,Black - Medium,34.0
Pinstripe Varsity Jacket,Tan - Medium,34.0
Pinstripe Varsity Jacket,Tan - Large,34.5
Know Thyself Hooded Sweatshirt,White - Small,36.3
Sekintani La Norihiro/Supreme Coaches Jacket,Multicolor - Small,37.0
Know Thyself Hooded Sweatshirt,Bright Yellow - Small,37.8
Pinstripe Varsity Jacket,Black - Large,38.2
Highland Jacket,Red - Medium,39.4
Know Thyself Hooded Sweatshirt,Red - Small,40.6
Know Thyself Hooded Sweatshirt,Black - Small,41.1
Sekintani La Norihiro/Supreme Work Shirt,Chocolate Chip Camo - Small,47.3
Know Thyself Hooded Sweatshirt,Light Blue - Large,51.6
Know Thyself Hooded Sweatshirt,Light Blue - XLarge,51.6
Highland Jacket,Black - XLarge,54.2
Forever Half Zip Sweatshirt,Ash Grey - Small,54.4
Highland Jacket,Red - Large,57.4
Know Thyself Hooded Sweatshirt,Light Blue - Medium,59.0
Pinstripe Varsity Jacket,Blue - XLarge,60.5
Pinstripe Varsity Jacket,Blue - Medium,66.5
Sekintani La Norihiro/Supreme Boobies Tee,Black - Small,67.3
Highland Jacket,Green - XLarge,71.8
Highland Jacket,Black - Medium,74.6
Nylon Trail Pant,Woodland Camo - Small,75.1
Know Thyself Hooded Sweatshirt,Navy - Small,75.3
Sekintani La Norihiro/Supreme Tee,Black - Small,79.0
Pinstripe Varsity Jacket,Orange - XLarge,80.0
Split Rib S/S Top,Mustard - Small,83.5
Forever Half Zip Sweatshirt,Columbia Blue - Small,85.1
Highland Jacket,Stone - Medium,86.3
Split Rib S/S Top,Red - Small,86.8
Pinstripe Varsity Jacket,Blue - Large,87.0
Split Rib S/S Top,White - Small,87.8
Highland Jacket,Green - Medium,90.9
Highland Jacket,Black - Large,91.8
Pinstripe Varsity Jacket,Orange - Medium,92.6
Split Rib S/S Top,Navy - Small,94.4
Highland Jacket,Stone - XLarge,95.5
Forever Half Zip Sweatshirt,Red - Small,96.4
Split Rib S/S Top,Pale Green - Small,96.8
Sekintani La Norihiro/Supreme Tee,White - Small,103.3
Sekintani La Norihiro/Supreme Work Shirt,Orange - Small,104.7
Highland Jacket,Green - Large,106.7
Know Thyself Hooded Sweatshirt,Bright Yellow - XLarge,111.1
Sekintani La Norihiro/Supreme Tee,Heather Grey - Small,111.2
Forever Half Zip Sweatshirt,Black - Small,113.1
Sekintani La Norihiro/Supreme Boobies Tee,White - Small,115.9
Sekintani La Norihiro/Supreme Boobies Tee,Heather Grey - Small,117.2
Fuck Everybody Sweater,Black - XLarge,117.7
Pinstripe Varsity Jacket,Orange - Large,123.3
Split Rib S/S Top,Black - Small,127.6
Highland Jacket,Stone - Large,128.5
Sekintani La Norihiro/Supreme Work Shirt,White - Small,135.8
Sekintani La Norihiro/Supreme L/S Tee,Black - Small,155.8
Sekintani La Norihiro/Supreme L/S Top,Multicolor - Small,156.3
Fuck Everybody Sweater,Black - Large,165.1
Fuck Everybody Sweater,White - Medium,166.5
Fuck Everybody Sweater,White - XLarge,169.7
