Item Name,Item Color and Size,Item Sellout time
New York Painted Trucker Jacket,Black - Small,4.5
Piping Practice S/S Top,Black - Small,5.0
New York Painted Trucker Jacket,Blue - Small,5.6
New York Painted Trucker Jacket,Black - XLarge,6.2
New York Painted Trucker Jacket,Black - Medium,6.5
New York Painted Trucker Jacket,Black - Large,6.7
New York Painted Trucker Jacket,Blue - XLarge,7.2
New York Painted Trucker Jacket,Blue - Medium,8.1
New York Painted Trucker Jacket,Blue - Large,9.6
The Persistence of Memory Silk S/S Shirt,Light Pink - Small,15.0
Putti Tee,Multicolor - Small,25.6
Rib Stripe Crewneck,Bright Yellow - Small,27.4
The Persistence of Memory Silk S/S Shirt,Orange - Small,29.3
Supreme®/Playboy© Leisure Zip Up Top,White - Small,31.8
Supreme®/McDermott™ Pool Cue,Red - N/A,34.2
The Persistence of Memory Silk S/S Shirt,Black - Small,34.2
Supreme®/Playboy© Leisure Short,White - Small,35.9
Supreme®/Playboy© Leisure Short,Black - Small,42.9
Work Short,Magenta Foulard - 36,64.6
Work Short,Khaki - 36,66.5
Supreme®/Playboy© Leisure Zip Up Top,Black - Small,70.2
Toy Uzi Hooded Sweatshirt,Dark Teal - Small,77.1
Toy Uzi Hooded Sweatshirt,Black - Small,77.7
Rib Stripe Crewneck,Pale Orange - Small,80.0
Supreme®/Playboy© Leisure Short,White - Medium,85.3
Supreme®/Playboy© Leisure Short,Black - Medium,90.8
Work Short,Black Foulard - 36,91.1
Work Short,White Foulard - 36,102.3
Piping Practice S/S Top,Blue - Small,106.2
Washed Twill Shirt,Red - Small,108.3
Supreme®/Playboy© Leisure Short,Black - Large,117.1
Putti Tee,Multicolor - XLarge,117.5
Supreme®/Playboy© Leisure Short,White - Large,118.5
Supreme®/Playboy© Leisure Short,Black - XLarge,120.0
Toy Uzi Hooded Sweatshirt,Red - Small,132.5
Toy Uzi Hooded Sweatshirt,Navy - Small,151.8
Supreme®/Playboy© Leisure Short,White - XLarge,165.1
