Item Name,Item Color and Size,Item Sellout time
Bar Stripe Tee,Light Blue,30.1
Pocket Tee,Desert Camo,41.6
Supreme®/Thrasher® Boyfriend Hooded Sweatshirt,Light Aqua,50.6
Supreme®/Thrasher® Tee,Black,75.7
Mesh Crown Crusher,Desert Camo,87.3
