Item Name,Item Color and Size,Item Sellout time
Supreme®/Coleman® CT200U Mini Bike,Red,6.7
Logo Stripe Terry Short,Peach,23.4
Logo Stripe Terry Short,Black,32.8
Logo Stripe Terry Short,Navy,35.5
Logo Stripe Terry Short,White,56.8
Terry Classic Logo 6-Panel,Black,58.2
Logo Stripe Terry Tank Top,Peach,67.5
Logo Stripe Terry Tank Top,Black,107.4
