Item Name,Item Color and Size,Item Sellout time
Chopsticks,Red,20.4
Washed Chino Twill Camp Cap,Black,46.9
Sake Set,White,51.5
Compact Logo Hooded Sweatshirt,Dark Olive,82.9
Arabic Logo 6-Panel,Black,99.6
Glitter Arc Football Top,White,101.1
Arabic Logo 6-Panel,Red,104.0
