Item Name,Item Color and Size,Item Sellout time
Supreme®/Comme des Garcons SHIRT®/Nike Air Force 1 Low,White,17.2
Hearts Rayon Shirt,Light Yellow,33.3
Hearts Rayon Shirt,White,37.1
Vampirella® Tee,Bright Coral,44.6
Silk Warm Up Pant,Pale Yellow,60.1
Silk Hooded Jacket,Yellow,76.0
Vampirella® Tee,Pale Yellow,93.8
Hearts Rayon Shirt,Black,109.9
