Item Name,Item Color and Size,Item Sellout time
Limonious Super Supreme Tee,Pale Yellow,7.5
Limonious Buy Off the Bar Tee,Orange,35.1
Mirage Tee,Purple,39.1
Limonious Super Supreme Tee,White,43.1
Mirage Tee,Pale Yellow,55.0
Front Panel Mesh Camp Cap,White,61.2
Go Fuck Yourself Pocket Tee,Bright Coral,63.1
Mirage Tee,White,71.0
Ripple Short,Black,90.7
Mirage Tee,Light Blue,96.4
Chrome Stripe 6-Panel,Navy,100.4
Limonious Super Supreme Tee,Teal,102.3
Limonious Super Supreme Tee,Black,104.2
