Item Name,Item Color and Size,Item Sellout time
Chest Twill Tape Hooded Sweatshirt,Dusty Pink,21.2
Nun L/S Tee,Light Yellow,39.4
Nun L/S Tee,Deep Blue,47.0
Mean Tee,Orange,52.0
Warp Hooded L/S Top,Heather Pink,63.8
Chest Twill Tape Hooded Sweatshirt,Aqua,71.8
Chest Twill Tape Hooded Sweatshirt,Red,73.8
Chest Twill Tape Hooded Sweatshirt,Pale Yellow,75.8
Mean Tee,Dark Pink,78.8
Chest Twill Tape Hooded Sweatshirt,Ash Grey,87.6
Warm Up Pant,Desert Camo,93.6
Nun L/S Tee,Dark Pink,95.6
Supreme®/Stanley® Adventure Flask,Red,107.6
Chest Twill Tape Hooded Sweatshirt,Black,112.4
Scream Tee,Pale Yellow,121.4
Mean Tee,Light Green,128.1
Scream Tee,Light Green,134.1
Nun L/S Tee,Light Green,141.8
Supreme®/Dr. Martens® Rousden Creeper,Black,151.8
Chest Twill Tape Hooded Sweatshirt,Navy,161.6
Supreme®/Rap-A-Lot Records Satin Club Jacket,Black,175.3
Scream Tee,Bright Coral,189.0
