Item Name,Item Color and Size,Item Sellout time
Velour Warm Up Short,White - Small,4.2
Court Half Zip Pullover,Dark Green - Small,4.6
Patches Denim Trucker Jacket,Blue - Small,5.9
Arc Logo Water Short,Red - Small,6.1
Velour Warm Up Short,White - XLarge,6.3
Warm Up Pant,Blue Camo - Small,6.5
Court Half Zip Pullover,Magenta - Small,6.5
Patches Denim Trucker Jacket,Black - Small,6.6
Arc Logo Water Short,Yellow - XLarge,6.9
Velour Warm Up Short,White - Large,7.1
Court Half Zip Pullover,White - Small,7.4
Arc Logo Water Short,Red - XLarge,7.6
Arc Logo Water Short,Green - Small,7.6
Velour Warm Up Short,White - Medium,7.8
Gradient Arc Top,Dark Yellow - Small,7.8
Arc Logo Water Short,Yellow - Small,8.3
Warm Up Pant,Blue Camo - Medium,8.7
Warm Up Pant,Blue Camo - XLarge,8.7
Arc Logo Water Short,Red - Medium,9.8
Arc Logo Water Short,Red - Large,9.8
Arc Logo Water Short,Yellow - Medium,9.8
Gradient Arc Top,Red - Small,10.1
Court Half Zip Pullover,Black - Small,10.2
Warm Up Pant,Blue Camo - Large,10.3
Arc Logo Water Short,Royal - Small,10.5
Arc Logo Water Short,Royal - XLarge,10.5
Arc Logo Water Short,Yellow - Large,10.5
Gradient Arc Top,Peach - Small,13.0
Arc Logo Water Short,Royal - Medium,13.4
Arc Logo Water Short,Black - Small,13.4
Arc Logo Water Short,Green - XLarge,13.4
Gradient Arc Top,Navy - Small,13.7
Arc Logo Water Short,Green - Medium,15.5
Contrast Crewneck,Heather Grey - Small,16.1
Court Half Zip Pullover,Dark Green - Medium,16.1
Court Half Zip Pullover,Dark Green - XLarge,16.1
Arc Logo Water Short,Royal - Large,16.3
Arc Logo Water Short,Green - Large,16.3
Gradient Arc Top,White - Small,16.7
Court Half Zip Pullover,Dark Green - Large,16.8
Plaid Knit Polo,Gold - Small,18.2
Gradient Arc Top,Heather Grey - Small,20.3
Warm Up Pant,Red - Small,20.7
Arc Logo Water Short,Black - Medium,21.5
Contrast Zip Up Hooded Sweatshirt,Navy - Small,22.2
Patches Denim Trucker Jacket,Blue - Medium,22.5
Warm Up Pant,Black - Small,22.9
Contrast Crewneck,Dark Green - Small,24.1
Arc Logo Water Short,Black - Large,25.2
Arc Logo Water Short,Black - XLarge,25.2
Court Half Zip Pullover,Black - Medium,25.5
Contrast Crewneck,Light Brown - Small,25.6
Patches Denim Trucker Jacket,Blue - XLarge,26.0
Gradient Arc Top,Teal - Small,26.3
Gradient Arc Top,Black - Small,26.3
Court Half Zip Pullover,Black - XLarge,28.5
Warm Up Pant,Olive - Small,28.8
Court Half Zip Pullover,Black - Large,29.1
Contrast Crewneck,Red - Small,29.3
Patches Denim Trucker Jacket,Blue - Large,30.9
Velour Warm Up Short,Lime - Small,31.1
Velour Warm Up Short,Light Blue - Small,34.1
Tiger Stripe Rayon Shirt,Magenta - Small,35.5
Contrast Crewneck,Navy - Small,36.5
Astro Sunglasses,Clear Yellow - N/A,36.8
Contrast Zip Up Hooded Sweatshirt,Red - Small,38.2
Yoke Piping L/S Top,White - Small,39.6
Gradient Arc Top,Dark Yellow - XLarge,39.8
Warm Up Pant,Red - Medium,39.8
Patches Denim Trucker Jacket,Black - Medium,40.2
Warm Up Pant,Navy - Small,40.5
Warm Up Pant,Pale Yellow - Small,40.5
Court Half Zip Pullover,Magenta - XLarge,40.7
Court Half Zip Pullover,Magenta - Medium,42.2
