Item Name,Item Color and Size,Item Sellout time
Tiger Varsity Jacket,Black - XXLarge,34.6
Tiger Varsity Jacket,Brown - XLarge,38.8
Hooded Soccer Jersey,Black - XXLarge,39.4
Tiger Varsity Jacket,Brown - Large,42.8
NBA Youngboy Tee,Black - XXLarge,43.7
Hooded Soccer Jersey,Black - XLarge,53.5
Tiger Varsity Jacket,Orange - XLarge,53.8
Bones Hockey Jersey,Multicolor - XXLarge,53.9
Hooded Soccer Jersey,White - XXLarge,54.6
Tiger Varsity Jacket,Orange - XXLarge,61.2
NBA Youngboy Tee,Black - XLarge,70.5
Tiger Varsity Jacket,Black - XLarge,73.4
Tiger Varsity Jacket,Brown - Small,78.9
Silk Map Cardigan,Mustard - XXLarge,89.2
Hell S/S Shirt,Multicolor - XXLarge,92.9
Tiger Varsity Jacket,Brown - Medium,94.7
Tiger Varsity Jacket,Orange - Large,113.8
Hooded Soccer Jersey,White - XLarge,121.2
Woven Plaid Shirt,Washed Navy - XXLarge,131.0
Bones Hockey Jersey,Black - XXLarge,134.0
NBA Youngboy Tee,White - XXLarge,151.2
Blurred Logo Sweater,Red - XXLarge,152.6
NBA Youngboy Tee,Black - Large,152.7
Tiger Varsity Jacket,Black - Large,192.1
Supreme®/Harman Kardon Soundsticks,White - OS,212.1
Tiger Varsity Jacket,Orange - Medium,232.8
NBA Youngboy Tee,Black - Small,232.8
Hooded Soccer Jersey,Black - Large,271.0
NBA Youngboy Tee,Black - Medium,283.4
Loose Fit Oxford Shirt,Dyed Green - XXLarge,284.3
Tiger Varsity Jacket,Orange - Small,291.5
Silk Map Cardigan,Black - XLarge,291.5
Tiger Varsity Jacket,Black - Medium,321.9
Blurred Logo Sweater,Black - XXLarge,347.0
Arc Half Zip Fleece Pullover,Pink - XXLarge,368.1
NBA Youngboy Tee,White - XLarge,387.2
Silk Map Cardigan,Pink - Small,405.9
