Item Name,Item Color and Size,Item Sellout time
Denim Camp Cap,Dirty Indigo - OS,36.7
Strawberries Camp Cap,Multicolor - OS,173.4
Eyewear Skateboard,"Multicolor - 8.25"" x 32.25"" - 8.25",250.9
Denim Camp Cap,Black - OS,276.9
