Item Name,Item Color and Size,Item Sellout time
Supreme®/Timberland® Baseball Jersey,Green - XXLarge,15.9
Supreme®/Timberland® Baseball Jersey,Black - XXLarge,24.8
Baggy Denim Short,Washed Black - 38,32.5
Supreme®/Timberland® Baseball Jersey,Green - XLarge,54.0
Patchwork S/S Shirt,Multicolor - XXLarge,58.1
Supreme®/Timberland® Baseball Jersey,Red - XXLarge,77.2
Supreme®/Timberland® Baseball Jersey,Black - XLarge,82.8
Patchwork S/S Shirt,Black - XXLarge,103.3
Baggy Denim Short,Green - 38,123.9
Supreme®/Timberland® Baseball Jersey,Green - Large,147.3
GORE-TEX PACLITE® Cargo Pant,Multicolor - 38,162.4
Baggy Denim Short,Green - 34,172.6
GORE-TEX PACLITE® Lightweight Shell Jacket,Multicolor - XXLarge,183.0
Loose Fit S/S Oxford Shirt,Light Blue - XXLarge,185.5
Leather Snake Trench Coat,Black - XLarge,192.4
Supreme®/Timberland® Baseball Jersey,Green - Medium,197.4
Supreme®/Timberland® Baseball Jersey,Red - XLarge,219.9
GORE-TEX PACLITE® Cargo Pant,Black - 38,221.6
Baggy Denim Short,Dirty Indigo - 38,224.6
Supreme®/Timberland® Baseball Jersey,Green - Small,248.9
Supreme®/Timberland® Baseball Jersey,Black - Large,250.5
Leather Snake Trench Coat,Brown - XXLarge,253.1
