Item Name,Item Color and Size,Item Sellout time
Motion Logo Tee,Black - XXLarge,25.8
Motion Logo Tee,White - XXLarge,41.3
Motion Logo Tee,Peach - XXLarge,43.7
Motion Logo Tee,Black - XLarge,48.7
Crown Tee,White - XXLarge,57.5
Motion Logo Tee,Faded Blue - XXLarge,89.2
Dollar S/S Shirt,Green - XXLarge,90.6
Motion Logo Tee,Peach - XLarge,92.4
Motion Logo Tee,Red - XXLarge,93.4
Motion Logo Tee,Heather Grey - XXLarge,94.6
Slap Shot Baggy Mesh Short,Orange - XXLarge,115.3
Dash Stripe S/S Top,Pink - Small,115.6
Trash Tee,Black - XXLarge,116.7
Motion Logo Tee,Faded Blue - XLarge,123.8
Motion Logo Tee,White - XLarge,132.4
Motion Logo Tee,Black - Large,142.9
Motion Logo Tee,Peach - Large,146.3
Dollar S/S Shirt,Purple - XXLarge,148.6
Motion Logo Tee,Red - XLarge,158.6
Blowfish Tee,Light Pine - XXLarge,161.8
Three Kings Tee,Navy - XXLarge,162.0
Mobb Deep Dragon Tee,Purple - XXLarge,164.1
Motion Logo Tee,Heather Grey - XLarge,169.4
Blowfish Tee,Black - XXLarge,170.4
Motion Logo Tee,Peach - Medium,187.7
Motion Logo Tee,Faded Blue - Large,190.4
Trash Tee,Brown - XXLarge,193.0
Mobb Deep Dragon Tee,Purple - XLarge,193.2
Motion Logo Tee,Red - Small,200.1
Trash Tee,White - XXLarge,202.5
Motion Logo Tee,Peach - Small,205.5
Motion Logo Tee,Black - Medium,220.2
Slap Shot Baggy Mesh Short,Pink - Small,238.6
Dollar S/S Shirt,Black - XXLarge,238.7
Slap Shot Baggy Mesh Short,Black - XXLarge,241.6
Mobb Deep Dragon Tee,Black - XXLarge,245.3
Motion Logo Tee,Red - Large,245.5
Slap Shot Baggy Mesh Short,Grey - XXLarge,247.7
Motion Logo Tee,White - Medium,248.3
Motion Logo Tee,Black - Small,248.7
Slap Shot Baggy Mesh Short,Pink - Medium,252.0
Motion Logo Tee,Red - Medium,252.5
Motion Logo Tee,Heather Grey - Medium,256.7
Motion Logo Tee,Heather Grey - Small,269.2
Motion Logo Tee,Faded Blue - Medium,269.6
Motion Logo Tee,White - Small,276.5
Mobb Deep Dragon Tee,White - XXLarge,278.1
Trash Tee,Black - XLarge,282.5
Trash Tee,Light Pink - XXLarge,284.8
Motion Logo Tee,Heather Grey - Large,285.9
Blowfish Tee,Peach - XXLarge,286.7
Motion Logo Tee,White - Large,302.9
Mobb Deep Dragon Tee,Heather Grey - XXLarge,313.0
Three Kings Tee,Black - XXLarge,315.5
Crown Tee,Khaki - XXLarge,316.7
Blowfish Tee,Light Pine - XLarge,321.6
Motion Logo Tee,Faded Blue - Small,323.3
Slap Shot Baggy Mesh Short,Pink - XXLarge,326.2
Trash Tee,Green - XXLarge,327.6
Trash Tee,Ash Grey - XXLarge,333.3
