Item Name,Item Color and Size,Item Sellout time
COVID-19 Relief Box Logo Tee,White - XLarge,2.7
COVID-19 Relief Box Logo Tee,White - Small,3.0
COVID-19 Relief Box Logo Tee,White - Large,3.4
COVID-19 Relief Box Logo Tee,White - Medium,7.0
