Item Name,Item Color and Size,Item Sellout time
Lafayette Reflective Down Jacket,Multicolor - Small,7.1
Lafayette Reflective Down Jacket,Multicolor - Medium,8.8
Lafayette Reflective Down Jacket,Multicolor - Large,9.2
Supreme®/Timberland® <br>Reversible Ripstop Jacket,Black - XLarge,10.3
Leather 5-Pocket Jean,Black - 34,10.5
Leather Shirt,Pink - Small,11.3
Lafayette Reflective Down Jacket,Multicolor - XLarge,11.8
Leather Shirt,Black - XLarge,13.0
Supreme®/Timberland® Hooded Sweatshirt,Dusty Purple - Small,45.0
Supreme®/Timberland® <br>Reversible Ripstop Jacket,Black - Large,53.6
Supreme®/Timberland® <br>Reversible Ripstop Jacket,Dusty Blue - XLarge,61.2
Supreme®/Timberland® Hooded Sweatshirt,Black - XXL,61.3
Supreme®/Timberland® Hooded Sweatshirt,Taupe - XXL,61.9
Leather Shirt,Olive - Small,64.0
Supreme®/Timberland® Hooded Sweatshirt,Dusty Purple - XXL,66.3
Supreme®/Timberland® <br>Reversible Ripstop Jacket,Burgundy - XLarge,111.1
Leather 5-Pocket Jean,Black - 32,120.1
Supreme®/Mitchell & Ness® <br>Sequin Logo Varsity Jacket,Black - XLarge,121.4
Supreme®/Mitchell & Ness® <br>Sequin Logo Varsity Jacket,Black - Small,124.2
Supreme®/Timberland® <br>Reversible Ripstop Jacket,Dusty Blue - Large,124.5
Supreme®/Timberland® <br>Reversible Ripstop Jacket,Black - Small,124.5
Supreme®/Timberland® Hooded Sweatshirt,Bright Cyan - XXL,128.1
Supreme®/Timberland® Hooded Sweatshirt,Red - XXL,128.6
Leather 5-Pocket Jean,Olive - 34,128.8
Supreme®/Timberland® <br>Reversible Ripstop Jacket,Dusty Blue - Small,130.3
