Item Name,Item Color and Size,Item Sellout time
Supreme®/Cressi® Rash Guard,Red Camo - Small,44.4
Supreme®/Cressi® Rash Guard,Blue Camo - Small,69.1
Supreme®/Cressi® Rash Guard,Black - Small,74.6
Mesh Script Tank Top,Brown - XLarge,109.1
Supreme®/Cressi® Rash Guard,Black - XLarge,120.5
Mesh Script Tank Top,Red - Small,130.9
Supreme®/Cressi® Rash Guard,Blue Camo - XLarge,131.4
Overdyed Camo Boonie,Pink - S/M,139.9
Overdyed Camo Boonie,Pink - M/L,176.7
