Item Name,Item Color and Size,Item Sellout time
Rick Rubin Tee,Black - XLarge,13.0
Rick Rubin Tee,Black - XXL,19.0
Rick Rubin Tee,Black - Small,25.1
Rick Rubin Tee,Black - Large,29.1
Shrek Tee,Black - XXL,29.5
Rick Rubin Tee,White - XXL,33.1
Arabic Logo Hooded Sweatshirt,Light Mustard - XXL,43.2
Rick Rubin Tee,Brown - Small,43.9
Rick Rubin Tee,Navy - XXL,44.1
Rick Rubin Tee,Plum - XXL,44.8
Pebbled Leather Varsity Jacket,Multicolor - Small,47.6
Cow Print Cardigan,Black - XLarge,48.1
Logo Ripstop Hooded Track Jacket,Black - XLarge,48.7
Rick Rubin Tee,Black - Medium,50.5
S Paneled Track Jacket,Black - XLarge,54.1
Logo Ripstop Hooded Track Jacket,Black - Small,58.1
Shrek Tee,Black - Small,58.2
Rick Rubin Tee,White - Small,58.3
Arabic Logo Hooded Sweatshirt,Black - XXL,58.3
Logo Ripstop Hooded Track Jacket,Natural - Small,58.9
Ventile® S Logo 6-Panel,Black - N/A,66.3
Shrek Tee,Black - XLarge,69.0
Rick Rubin Tee,Plum - Small,72.6
Rick Rubin Tee,Heather Grey - XXL,73.9
Number One Hooded Sweatshirt,Dark Brown - Small,75.1
Samurai Tee,Light Pine - XXL,75.5
Rick Rubin Tee,Brown - XLarge,76.2
Rick Rubin Tee,White - XLarge,76.3
Cow Print Cardigan,Red - XLarge,78.4
Est. 1994 Tee,Turquoise - Small,78.6
Rick Rubin Tee,Heather Grey - Small,81.9
Arabic Logo Hooded Sweatshirt,Black - Small,82.3
Cow Print Cardigan,Red - Small,82.5
Number One Hooded Sweatshirt,Dark Brown - Medium,83.2
Rick Rubin Tee,White - Large,85.0
Rick Rubin Tee,Navy - Small,87.3
Arabic Logo Hooded Sweatshirt,Light Mustard - Small,87.7
S Paneled Track Jacket,Dusty Pink - Small,87.9
Arabic Logo Hooded Sweatshirt,Light Mustard - XLarge,89.0
Supreme®/Hanes® Boxer Briefs (2 Pack),Pink - Large,89.8
Arabic Logo Hooded Sweatshirt,Heather Grey - XXL,90.1
Supreme®/Hanes® Boxer Briefs (2 Pack),Pink - XLarge,91.2
Arabic Logo Hooded Sweatshirt,Dark Green - XXL,91.8
Arabic Logo Hooded Sweatshirt,Light Aqua - Small,93.7
Rick Rubin Tee,Navy - XLarge,99.8
Rick Rubin Tee,Plum - XLarge,100.2
Richest Tee,Brown - Small,101.0
Est. 1994 Tee,Turquoise - XXL,101.3
Supreme®/Hanes® Boxer Briefs (2 Pack),Pink - Medium,101.7
Dog Bone,Red - N/A,102.8
Number One Hooded Sweatshirt,Pink - Small,103.4
Est. 1994 Tee,Turquoise - XXL,104.6
Samurai Tee,Light Pine - Small,104.7
Rick Rubin Tee,Brown - Medium,104.9
Rick Rubin Tee,Brown - Medium,105.5
Supreme®/Hanes® Boxer Briefs (2 Pack),Pink - Small,106.3
Number One Hooded Sweatshirt,Dark Brown - XLarge,108.9
Rick Rubin Tee,Brown - Large,109.6
Shrek Tee,White - XXL,110.0
Arabic Logo Hooded Sweatshirt,Red - XXL,110.1
Spaghetti Tee,Brown - Small,111.8
Shrek Tee,Black - Large,112.5
Shrek Tee,Heather Grey - XXL,113.2
Rick Rubin Tee,Heather Grey - XLarge,116.8
Cow Print Cardigan,Black - Small,121.3
Rick Rubin Tee,White - Medium,123.0
Rick Rubin Tee,Navy - Large,124.8
Number One Hooded Sweatshirt,Charcoal - Small,124.8
Number One Hooded Sweatshirt,Natural - Small,125.4
Ventile® S Logo 6-Panel,Stone - N/A,125.5
Number One Hooded Sweatshirt,Dark Brown - Large,125.7
Argyle Zip Polo,White - Small,131.7
Samurai Tee,Black - XXL,131.8
Pebbled Leather Varsity Jacket,Black - XLarge,132.4
Arabic Logo Hooded Sweatshirt,Light Aqua - XXL,133.5
Arabic Logo Hooded Sweatshirt,Black - XLarge,133.9
Rick Rubin Tee,Plum - Large,134.3
Shrek Tee,Black - Medium,135.0
Arabic Logo Hooded Sweatshirt,Light Mustard - Large,138.6
Logo Ripstop Hooded Track Jacket,Black - Large,139.0
Logo Ripstop Hooded Track Jacket,Natural - Large,139.5
Est. 1994 Tee,Brown - Small,139.9
Rick Rubin Tee,Green - Small,143.5
Rick Rubin Tee,Heather Grey - Large,148.6
Argyle Zip Polo,Grey - Small,148.6
Shrek Tee,White - Small,149.3
S Paneled Track Jacket,Brown - XLarge,150.1
Samurai Tee,Light Pine - XLarge,151.4
No Thanks S/S Top,White - Small,152.4
Nas and DMX GORE-TEX Shell Jacket,Multicolor - XLarge,153.7
Rick Rubin Tee,Green - XXL,153.7
Small Box Twill Shirt,Olive - Small,154.1
Multi Logo Hooded Sweatshirt,Red - XXL,154.4
Est. 1994 Tee,White - Small,154.9
Appliqué Denim Shirt,Natural - XLarge,155.7
Logo Ripstop Hooded Track Jacket,Natural - XLarge,156.4
Samurai Tee,Light Pine - Medium,160.7
Number One Hooded Sweatshirt,Dark Brown - XXL,166.6
Samurai Tee,Light Pine - Large,167.6
Rick Rubin Tee,Navy - Medium,172.4
Shrek Tee,Purple - XXL,173.3
Rick Rubin Tee,Navy - Medium,178.1
Shrek Tee,Turquoise - XXL,180.1
