Item Name,Item Color and Size,Item Sellout time
Supreme®/SOUTH2 WEST8 River Trek Pant,Black - XLarge,19.2
Supreme®/Seiko Marathon Clock,Red - N/A,19.6
Dog S/S Work Shirt,Pale Purple - Small,19.7
Supreme®/SOUTH2 WEST8 Bush Pant,Black - XLarge,25.2
Dog S/S Work Shirt,Pale Purple - XLarge,31.3
Supreme®/SOUTH2 WEST8 River Trek Pant,Black - Large,33.2
Supreme®/SOUTH2 WEST8 Bush Pant,Multicolor - XLarge,44.1
Signature Label S/S Top,Pink - Small,44.1
Supreme®/SOUTH2 WEST8 Tenkara Fishing Rod,Red - N/A,46.0
Printed Stripe S/S Top,Peach - Small,46.9
Supreme®/SOUTH2 WEST8 L/S Pocket Tee,Black - XXL,46.9
Supreme®/SOUTH2 WEST8 River Trek Pant,Black - Small,49.0
Dog S/S Work Shirt,Orange - XLarge,72.3
Dog S/S Work Shirt,Orange - Small,73.2
Supreme®/SOUTH2 WEST8 Bush Pant,Black - Large,75.4
Supreme®/SOUTH2 WEST8 River Trek Pant,Black - Medium,77.9
Dog S/S Work Shirt,Pale Purple - Large,78.9
Supreme®/SOUTH2 WEST8 Bush Pant,Multicolor - Large,79.6
Dog S/S Work Shirt,White - Small,79.7
Supreme®/SOUTH2 WEST8 Fleece Jacket,Mustard - XLarge,79.7
Printed Stripe S/S Top,Bright Blue - Small,79.8
Supreme®/SOUTH2 WEST8 River Trek Pant,Camo - XLarge,80.2
Printed Stripe S/S Top,Light Green - Small,82.4
Supreme®/SOUTH2 WEST8 Belted Pant,Mustard Pattern - XLarge,82.5
Invert Hooded Sweatshirt,Magenta - XXL,82.5
Supreme®/SOUTH2 WEST8 L/S Pocket Tee,Brown - Small,103.1
Printed Stripe S/S Top,Peach - XLarge,103.5
Dog S/S Work Shirt,Black - Small,103.7
Brush Stroke Hooded Sweatshirt,Pink - Small,103.7
S Repeat Sweater,Light Blue - Small,103.9
Invert Hooded Sweatshirt,Magenta - Small,105.3
Brush Stroke Sweatshort,Pink - Small,115.2
Brush Stroke Sweatshort,Dark Tan - XLarge,117.5
Supreme®/SOUTH2 WEST8 Fleece Jacket,Teal - XLarge,118.9
Printed Stripe S/S Top,Light Green - XLarge,119.0
Brush Stroke Hooded Sweatshirt,Pink - XXL,119.0
Invert Hooded Sweatshirt,Pale Royal - XXL,119.2
Supreme®/SOUTH2 WEST8 Bush Vest,Black - XLarge,120.9
Dog S/S Work Shirt,Black - XLarge,121.3
Printed Stripe S/S Top,Black - Small,126.2
Signature Label S/S Top,Olive - Small,126.9
Dog S/S Work Shirt,Pale Purple - Medium,127.4
Supreme®/SOUTH2 WEST8 L/S Pocket Tee,Brown - XXL,127.6
Printed Stripe S/S Top,Red - Small,132.3
Dog S/S Work Shirt,White - XLarge,135.8
Brush Stroke Sweatshort,Pink - XLarge,136.0
Supreme®/SOUTH2 WEST8 Jungle Hat,Black - M/L,137.5
Signature Label S/S Top,Black - Small,143.3
Supreme®/SOUTH2 WEST8 River Trek Jacket,Black - Small,144.1
Signature Label S/S Top,White - Small,146.8
Printed Stripe S/S Top,Peach - Large,158.2
Brush Stroke Sweatshort,Pink - Medium,158.2
Supreme®/SOUTH2 WEST8 Fleece Jacket,Teal - Small,158.4
Dog S/S Work Shirt,Orange - Large,160.7
Signature Label S/S Top,Pink - XLarge,172.2
Supreme®/SOUTH2 WEST8 Bush Pant,Black - Small,174.8
Brush Stroke Sweatshort,Pink - Large,177.5
Signature Label S/S Top,Bright Blue - Small,179.5
Invert Hooded Sweatshirt,Black - XXL,202.0
Brush Stroke Hooded Sweatshirt,Pale Royal - XXL,202.1
Printed Stripe S/S Top,Bright Blue - XLarge,202.9
Brush Stroke Sweatshort,Pale Royal - XLarge,204.8
Supreme®/SOUTH2 WEST8 Fleece Jacket,Teal - Large,216.3
Supreme®/SOUTH2 WEST8 Fleece Jacket,Mustard - Small,219.0
Dog S/S Work Shirt,Black - Large,220.9
Supreme®/SOUTH2 WEST8 L/S Pocket Tee,Teal - Small,223.0
Supreme®/SOUTH2 WEST8 River Trek Pant,Camo - Large,223.6
Signature Label S/S Top,Pink - Large,226.0
Printed Stripe S/S Top,Peach - Medium,229.6
Printed Stripe S/S Top,Black - XLarge,241.4
Printed Stripe S/S Top,Light Green - Large,244.7
Printed Stripe S/S Top,Red - XLarge,249.4
Supreme®/SOUTH2 WEST8 Jungle Hat,Black - S/M,251.2
Invert Hooded Sweatshirt,Light Olive - XXL,251.6
Dog S/S Work Shirt,White - Large,253.3
Dog S/S Work Shirt,Orange - Medium,253.8
Supreme®/SOUTH2 WEST8 Belted Pant,Teal Pattern - XLarge,264.1
